year,1.活動物；動物產品,2.植物產品,3.動植物油脂,4.調製食品；飲料及菸酒,5.礦產品,6.化學品,7.塑膠、橡膠及其製品,8.毛皮及其製品,9.木及木製品,10.紙漿；紙及其製品；印刷品,11.紡織品,12.鞋、帽及其他飾品,13.非金屬礦物製品,14.珠寶及貴金屬製品,15.基本金屬及其製品,16.機械及電機設備,17.運輸工具,18.光學及精密儀器；鐘錶；樂器,19.其他
2001,37320 ,9732 ,2588 ,19596 ,103790 ,172476 ,74902 ,7083 ,2487 ,12121 ,197071 ,2660 ,53819 ,3068 ,165015 ,2272914 ,20049 ,159674 ,62698 
2002,36736 ,11512 ,2486 ,11983 ,294435 ,174020 ,90294 ,5111 ,2322 ,16131 ,182306 ,2818 ,50066 ,1980 ,203810 ,2450663 ,19732 ,337090 ,84462 
2003,20497 ,10012 ,2391 ,18850 ,507293 ,211867 ,98953 ,3407 ,2048 ,17776 ,153267 ,2990 ,45128 ,2535 ,299181 ,2994461 ,17786 ,262048 ,70424 
2004,34078 ,10917 ,2946 ,16468 ,210695 ,349015 ,120269 ,2016 ,2045 ,19409 ,190851 ,4010 ,68692 ,1716 ,379600 ,3969061 ,30558 ,221968 ,54731 
2005,24201 ,11925 ,2731 ,11320 ,306036 ,454131 ,146998 ,2521 ,3000 ,23472 ,172911 ,3168 ,49876 ,1765 ,506764 ,3801696 ,53448 ,302972 ,66149 
2006,48277 ,13522 ,1827 ,17554 ,98643 ,440852 ,164004 ,2771 ,3239 ,36018 ,177152 ,2550 ,114498 ,8415 ,769415 ,4804086 ,85158 ,399542 ,65345 
2007,51087 ,24470 ,2239 ,17520 ,99695 ,658606 ,207375 ,3979 ,4347 ,38302 ,172678 ,1798 ,133946 ,7193 ,833060 ,5259598 ,100956 ,228915 ,67690 
2008,52249 ,21479 ,3648 ,16932 ,169430 ,980300 ,225056 ,2508 ,3134 ,29171 ,121597 ,1841 ,116853 ,9293 ,959738 ,5646577 ,170639 ,193715 ,68477 
2009,58438 ,17340 ,2810 ,14413 ,199761 ,735027 ,178325 ,3519 ,1708 ,23212 ,107842 ,1927 ,88643 ,5220 ,927901 ,4682498 ,92877 ,155111 ,69853 
2010,61525 ,22340 ,1925 ,25426 ,255809 ,980266 ,308809 ,5316 ,1672 ,33881 ,133912 ,1982 ,92192 ,4764 ,962939 ,7424568 ,110716 ,260725 ,76519 
2011,91119 ,20895 ,643 ,36084 ,205505 ,1029135 ,455531 ,4710 ,1816 ,52714 ,148377 ,3845 ,153424 ,12331 ,1183588 ,8486178 ,108895 ,413393 ,77774 
2012,109917 ,19030 ,593 ,46196 ,130725 ,817327 ,494587 ,6742 ,2198 ,51361 ,133861 ,3036 ,219270 ,29459 ,925573 ,8329677 ,159726 ,423563 ,81539 
2013,110992 ,20954 ,10514 ,48011 ,144408 ,804159 ,495732 ,13418 ,1562 ,52944 ,131159 ,1922 ,182600 ,33340 ,994782 ,8465442 ,119976 ,495222 ,96051 
2014,91236 ,26937 ,10336 ,60593 ,107430 ,1034193 ,521148 ,8261 ,2377 ,55578 ,116979 ,2186 ,168140 ,19622 ,956816 ,8930623 ,132976 ,491123 ,120764 
2015,104007 ,30411 ,18722 ,65218 ,154823 ,826110 ,457244 ,6385 ,2462 ,54210 ,102497 ,2116 ,115035 ,11351 ,747530 ,9439709 ,156583 ,361870 ,115777 
2016,90764 ,20151 ,6175 ,63636 ,752430 ,754136 ,464876 ,3368 ,2477 ,70464 ,90857 ,3046 ,100077 ,7566 ,724151 ,8623598 ,140871 ,499788 ,112796 
2017,84476 ,14148 ,6627 ,112866 ,991741 ,864244 ,601124 ,3498 ,3215 ,53062 ,97282 ,2883 ,111985 ,10818 ,1023218 ,9423484 ,229481 ,662868 ,118716 
2018,91948 ,18490 ,4450 ,199341 ,2787048 ,1143440 ,654308 ,2994 ,2646 ,70569 ,101509 ,3807 ,114443 ,8929 ,909349 ,8962653 ,109656 ,429708 ,123643 
2019,108945 ,17646 ,10318 ,173875 ,4266619 ,902723 ,516053 ,2747 ,2236 ,57689 ,102617 ,4296 ,97373 ,6636 ,845773 ,9252651 ,113178 ,313135 ,122542 
